"","match_id","player","set","serve_pts","aces","dfs","first_in","first_won","second_in","second_won","bk_pts","bp_saved","return_pts","return_pts_won","winners","winners_fh","winners_bh","unforced","unforced_fh","unforced_bh","year","match_id_copy","gender","tourney_name_dash","round.x","player_1_dash","player_2_dash","tourney_name.x","player_1","player_2","p1_id","p2_id","atp_key","Date","atp_winner_id","winner_class","loser_class","upset_type","wflag","ace_pct","df_pct","firstin_pct","firstwon_pct","secondwon_pct","bkfcd_pct","bksvd_pct","retwon_pct","win_uf_ratio","player_id","class"
"11","20120221-M-Buenos_Aires-R32-Wayne_Odesnik-David_Nalbandian",1,"Total",61,2,3,34,20,27,9,7,2,42,12,10,5,0,17,8,6,2012,20120221,"M","Buenos_Aires","R32","Wayne_Odesnik","David_Nalbandian","Buenos Aires","Wayne Odesnik","David Nalbandian",104639,103900,7692,2012-02-21,103900,"Heavy Favorite","No Hope","Favorite Won","L",0.0327868852459016,0.0491803278688525,0.557377049180328,0.588235294117647,0.333333333333333,0.114754098360656,0.285714285714286,0.285714285714286,0.588235294117647,104639,"No Hope"
"12","20120221-M-Buenos_Aires-R32-Wayne_Odesnik-David_Nalbandian",2,"Total",42,2,1,24,17,18,13,1,0,61,32,30,20,6,24,12,11,2012,20120221,"M","Buenos_Aires","R32","Wayne_Odesnik","David_Nalbandian","Buenos Aires","Wayne Odesnik","David Nalbandian",104639,103900,7692,2012-02-21,103900,"Heavy Favorite","No Hope","Favorite Won","W",0.0476190476190476,0.0238095238095238,0.571428571428571,0.708333333333333,0.722222222222222,0.0238095238095238,0,0.524590163934426,1.25,103900,"Heavy Favorite"
"13","20120227-M-Dubai-SF-Andy_Murray-Novak_Djokovic",1,"Total",56,5,3,40,34,16,4,3,2,50,21,14,6,3,16,6,7,2012,20120227,"M","Dubai","SF","Andy_Murray","Novak_Djokovic","Dubai","Andy Murray","Novak Djokovic",104918,104925,7172,2012-03-02,104918,"Clear Dog","Heavy Favorite","Slightly Unusual","W",0.0892857142857143,0.0535714285714286,0.714285714285714,0.85,0.25,0.0535714285714286,0.666666666666667,0.42,0.875,104918,"Clear Dog"
"14","20120227-M-Dubai-SF-Andy_Murray-Novak_Djokovic",2,"Total",50,2,0,34,23,16,6,5,1,56,18,13,6,5,23,12,11,2012,20120227,"M","Dubai","SF","Andy_Murray","Novak_Djokovic","Dubai","Andy Murray","Novak Djokovic",104918,104925,7172,2012-03-02,104918,"Clear Dog","Heavy Favorite","Slightly Unusual","L",0.04,0,0.68,0.676470588235294,0.375,0.1,0.2,0.321428571428571,0.565217391304348,104925,"Heavy Favorite"
"15","20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek",1,"Total",73,8,4,51,40,22,8,7,7,50,21,18,6,3,26,11,11,2012,20120301,"M","Delray_Beach","R16","Bernard_Tomic","Tim_Smyczek","Delray Beach","Bernard Tomic","Tim Smyczek",106071,105065,6598,2012-03-01,106071,"Heavy Favorite","Heavy Dog","Favorite Won","W",0.10958904109589,0.0547945205479452,0.698630136986301,0.784313725490196,0.363636363636364,0.0958904109589041,1,0.42,0.692307692307692,106071,"Heavy Favorite"
"16","20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek",2,"Total",50,0,1,33,22,17,7,4,1,73,25,16,8,7,27,13,13,2012,20120301,"M","Delray_Beach","R16","Bernard_Tomic","Tim_Smyczek","Delray Beach","Bernard Tomic","Tim Smyczek",106071,105065,6598,2012-03-01,106071,"Heavy Favorite","Heavy Dog","Favorite Won","L",0,0.02,0.66,0.666666666666667,0.411764705882353,0.08,0.25,0.342465753424658,0.592592592592593,105065,"Heavy Dog"
"17","20120303-M-Dubai-F-Andy_Murray-Roger_Federer",1,"Total",66,7,3,33,22,33,18,9,6,64,19,19,5,7,29,9,17,2012,20120303,"M","Dubai","F","Andy_Murray","Roger_Federer","Dubai","Andy Murray","Roger Federer",104918,103819,7174,2012-03-03,103819,"Clear Favorite","Slight Dog","Favorite Won","L",0.106060606060606,0.0454545454545455,0.5,0.666666666666667,0.545454545454545,0.136363636363636,0.666666666666667,0.296875,0.655172413793103,104918,"Slight Dog"
"18","20120303-M-Dubai-F-Andy_Murray-Roger_Federer",2,"Total",64,5,2,35,26,29,19,3,2,66,26,28,15,7,26,14,10,2012,20120303,"M","Dubai","F","Andy_Murray","Roger_Federer","Dubai","Andy Murray","Roger Federer",104918,103819,7174,2012-03-03,103819,"Clear Favorite","Slight Dog","Favorite Won","W",0.078125,0.03125,0.546875,0.742857142857143,0.655172413793103,0.046875,0.666666666666667,0.393939393939394,1.07692307692308,103819,"Clear Favorite"
"19","20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez",1,"Total",70,4,3,46,32,24,12,8,5,72,34,23,13,3,27,10,14,2012,20120313,"M","Indian_Wells_Masters","R32","Ryan_Harrison","Guillermo_Garcia_Lopez","Indian Wells Masters","Ryan Harrison","Guillermo Garcia Lopez",105992,104198,8407,2012-03-13,105992,"Clear Favorite","Clear Dog","Favorite Won","W",0.0571428571428571,0.0428571428571429,0.657142857142857,0.695652173913043,0.5,0.114285714285714,0.625,0.472222222222222,0.851851851851852,105992,"Clear Favorite"
"20","20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez",2,"Total",72,0,2,37,20,35,18,7,2,70,26,19,14,4,32,22,8,2012,20120313,"M","Indian_Wells_Masters","R32","Ryan_Harrison","Guillermo_Garcia_Lopez","Indian Wells Masters","Ryan Harrison","Guillermo Garcia Lopez",105992,104198,8407,2012-03-13,105992,"Clear Favorite","Clear Dog","Favorite Won","L",0,0.0277777777777778,0.513888888888889,0.540540540540541,0.514285714285714,0.0972222222222222,0.285714285714286,0.371428571428571,0.59375,104198,"Clear Dog"
