atp_key,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,W LN,W Key,L LN,L Key
5861,2012-418,Washington,Hard,32,A,20120730,1,103888,1,,Mardy Fish,R,188,USA,30.63928816,15,1955,103451,,,Bjorn Phau,R,175,GER,32.82135524,77,627,4-6 6-1 6-2,3,R32,113,15,3,82,49,34,22,13,6,7,5,5,81,47,31,15,12,5,9,Fish,Fish M.,Phau,Phau B.
5862,2012-418,Washington,Hard,32,A,20120730,2,105575,,WC,Ricardas Berankis,R,175,LTU,22.10814511,103,549,103917,,,Nicolas Mahut,R,190,FRA,30.52156057,62,744,6-4 7-5,3,R32,102,10,5,68,33,28,20,11,0,0,10,1,90,55,39,15,11,11,13,Berankis,Berankis R.,Mahut,Mahut N.
5863,2012-418,Washington,Hard,32,A,20120730,3,103598,,,Xavier Malisse,R,185,BEL,32.03011636,67,686,103908,,,Paul Henri Mathieu,R,185,FRA,30.54620123,142,387,4-6 6-2 6-1,3,R32,105,12,3,70,35,30,16,12,1,4,4,5,87,43,26,17,13,12,19,Malisse,Malisse X.,Henri Mathieu,Henri Mathieu P.
5864,2012-418,Washington,Hard,32,A,20120730,4,104871,6,,Jeremy Chardy,R,188,FRA,25.46201232,47,899,104273,,,Edouard Roger Vasselin,R,188,FRA,28.67077344,100,555,3-6 7-6(3) 6-4,3,R32,131,19,5,102,64,50,19,15,5,6,9,7,103,68,57,14,16,3,4,Chardy,Chardy J.,Roger Vasselin,Roger Vasselin E.
5865,2012-418,Washington,Hard,32,A,20120730,5,103163,4,,Tommy Haas,R,188,GER,34.32443532,36,1138,103188,,Q,Michael Russell,R,173,USA,34.2477755,81,615,6-4 6-2,3,R32,75,5,3,45,27,23,13,9,0,0,5,3,61,41,28,8,9,4,7,Haas,Haas T.,Russell,Russell M.
5866,2012-418,Washington,Hard,32,A,20120730,6,104919,,,Leonardo Mayer,R,188,ARG,25.21013005,63,707,104198,,,Guillermo Garcia Lopez,R,188,ESP,29.15537303,71,651,7-6(5) 7-6(8),3,R32,119,6,4,77,48,39,18,12,0,0,8,5,78,40,30,25,12,0,0,Mayer,Mayer L.,Garcia Lopez,Garcia Lopez G.
5867,2012-418,Washington,Hard,32,A,20120730,7,104594,,,Marinko Matosevic,R,194,AUS,26.97604381,64,706,105028,,Q,Jesse Levine,L,175,CAN,24.79123888,89,585,3-6 7-6(5) 6-3,3,R32,134,5,1,95,62,43,20,16,3,6,5,3,87,60,42,15,14,3,5,Matosevic,Matosevic M.,Levine,Levine J.
5868,2012-418,Washington,Hard,32,A,20120730,8,104735,,,Tobias Kamke,R,180,GER,26.19301848,107,538,105332,7,,Benoit Paire,R,196,FRA,23.22792608,50,880,6-3 7-5,3,R32,71,0,4,60,33,22,8,10,2,7,5,3,65,35,20,5,11,1,9,Kamke,Kamke T.,Paire,Paire B.
5869,2012-418,Washington,Hard,32,A,20120730,9,105023,8,,Sam Querrey,R,198,USA,24.81314168,38,1029,104214,,,Igor Andreev,R,185,RUS,29.045859,92,579,7-6(2) 6-7(2) 7-6(3),3,R32,133,18,10,113,61,51,29,18,4,6,8,1,112,70,56,23,18,1,3,Querrey,Querrey S.,Andreev,Andreev I.
5870,2012-418,Washington,Hard,32,A,20120730,10,103794,,,Benjamin Becker,R,178,GER,31.1211499,105,543,105449,,WC,Steve Johnson,R,188,USA,22.5982204,360,115,6-4 6-3,3,R32,73,7,2,59,28,20,18,9,3,4,7,3,57,30,21,11,10,5,9,Becker,Becker B.,Johnson,Johnson S.
