atp_key,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,W LN,W Key,L LN,L Key
1,2014-301,Auckland,Hard,28,A,20140106,1,105385,,Q,Donald Young,L,183,USA,24.45722108,96,563,105643,,,Federico Delbonis,L,190,ARG,23.25530459,54,826,7-5 6-2,3,R32,86,2,4,59,41,33,9,10,2,3,2,2,82,59,33,12,10,9,13,Young,Young D.,Delbonis,Delbonis F.
2,2014-301,Auckland,Hard,28,A,20140106,2,105053,,,Santiago Giraldo,R,188,COL,26.11088296,68,703,103656,,,Albert Montanes,R,175,ESP,33.11156742,59,766,6-1 7-6(3),3,R32,75,10,2,63,38,30,11,9,2,3,1,4,68,38,27,10,10,6,10,Giraldo,Giraldo S.,Montanes,Montanes A.
3,2014-301,Auckland,Hard,28,A,20140106,3,104198,,,Guillermo Garcia Lopez,R,188,ESP,30.5927447,58,776,104898,8,,Robin Haase,R,190,NED,26.75427789,44,977,4-6 7-5 7-6(4),3,R32,131,4,6,107,55,41,27,17,4,7,7,4,100,72,54,10,17,0,3,Garcia Lopez,Garcia Lopez G.,Haase,Haase R.
4,2014-301,Auckland,Hard,28,A,20140106,4,105449,,LL,Steve Johnson,R,188,USA,24.03559206,160,327,104571,,WC,Marcos Baghdatis,R,183,CYP,28.55578371,109,515,7-5 6-7(3) 6-4,3,R32,122,13,2,103,59,44,28,17,1,2,8,7,105,63,47,22,17,4,7,Johnson,Johnson S.,Baghdatis,Baghdatis M.
5,2014-301,Auckland,Hard,28,A,20140106,5,104229,,,Yen Hsun Lu,R,180,TPE,30.39835729,62,730,104997,,,Igor Sijsling,R,190,NED,26.38740589,69,697,7-5 7-6(7),3,R32,85,3,2,76,49,34,16,12,1,3,11,2,76,36,30,18,12,4,7,Hsun Lu,Hsun Lu Y.,Sijsling,Sijsling I.
6,2014-301,Auckland,Hard,28,A,20140106,6,105614,,Q,Bradley Klahn,L,190,USA,23.38124572,95,568,104978,9,,Daniel Brands,R,196,GER,26.47501711,57,779,7-5 4-6 6-3,3,R32,112,12,2,103,76,56,13,16,6,7,8,4,110,83,56,12,15,13,15,Klahn,Klahn B.,Brands,Brands D.
7,2014-301,Auckland,Hard,28,A,20140106,7,104259,5,,Philipp Kohlschreiber,R,178,GER,30.22587269,22,1525,105807,,,Pablo Carreno Busta,R,,ESP,22.48870637,61,739,6-2 3-6 7-5,3,R32,99,9,0,74,46,34,16,14,0,2,4,5,88,56,40,14,15,3,7,Kohlschreiber,Kohlschreiber P.,Carreno Busta,Carreno Busta P.
8,2014-301,Auckland,Hard,28,A,20140106,8,104547,,,Horacio Zeballos,L,188,ARG,28.6954141,66,710,103835,,,Filippo Volandri,R,183,ITA,32.33675565,70,694,6-0 7-6(1),3,R32,81,5,6,71,41,30,12,9,3,5,2,2,64,41,23,7,9,4,9,Zeballos,Zeballos H.,Volandri,Volandri F.
9,2014-301,Auckland,Hard,28,A,20140106,9,105041,,Q,Lukas Lacko,R,185,SVK,26.17659138,90,595,104907,,WC,Jose Rubin Statham,R,183,NZL,26.70225873,288,155,6-3 6-1,3,R32,70,7,2,53,32,24,11,8,4,4,3,3,66,44,25,7,8,7,11,Lacko,Lacko L.,Rubin Statham,Rubin Statham J.
10,2014-301,Auckland,Hard,28,A,20140106,10,105332,6,,Benoit Paire,R,196,FRA,24.66529774,28,1300,104308,,,Michal Przysiezny,R,185,POL,29.88911704,63,730,6-4 6-2,3,R32,49,12,2,42,23,21,15,9,0,0,2,2,57,33,24,11,9,3,6,Paire,Paire B.,Przysiezny,Przysiezny M.
