"","match_id","player","set","serve_pts","aces","dfs","first_in","first_won","second_in","second_won","bk_pts","bp_saved","return_pts","return_pts_won","winners","winners_fh","winners_bh","unforced","unforced_fh","unforced_bh","year","match_id_copy","gender","tourney_name_dash","round.x","player_1_dash","player_2_dash","tourney_name.x","player_1","player_2","p1_id","p2_id","atp_key","Date","atp_winner_id","winner_class","loser_class","upset_type","wflag","ace_pct","df_pct","firstin_pct","firstwon_pct","secondwon_pct","bkfcd_pct","bksvd_pct","retwon_pct","win_uf_ratio","player_id","class","upset_flag","avg_ace_pct","avg_df_pct","avg_firstin_pct","avg_firstwon_pct","avg_secondwon_pct","avg_bkfcd_pct","avg_bksvd_pct","avg_retwon_pct","avg_win_uf_ratio","ace_dif","df_dif","firstin_dif","firstwon_dif","secondwon_dif","bkfcd_dif","bksvd_dif","retwon_dif","win_uf_dif","class_ind","indx"
"1","20120108-M-Chennai-F-Milos_Raonic-Janko_Tipsarevic",1,"Total",113,34,1,83,74,30,14,4,4,136,43,84,30,8,52,25,26,2012,20120108,"M","Chennai","F","Milos_Raonic","Janko_Tipsarevic","Chennai","Milos Raonic","Janko Tipsarevic",105683,104386,7743,2012-01-08,105683,"Clear Favorite","Slight Dog","Favorite Won","W",0.300884955752212,0.00884955752212389,0.734513274336283,0.891566265060241,0.466666666666667,0.0353982300884956,1,0.316176470588235,1.61538461538462,105683,"Clear Favorite","F",0.0837904072820632,0.0299918310187887,0.626794258373206,0.728169800781977,0.534083802376485,0.0722371338545921,0.621970920840065,0.371290545203589,0.952516619183286,2.59092365715976,0.704934403085293,0.171857056002162,0.224393354548339,-0.126229508196721,0.509971835818548,0.607792207792208,-0.148439208397113,0.695912263210369,"Favorite",1
"2","20120108-M-Chennai-F-Milos_Raonic-Janko_Tipsarevic",2,"Total",136,8,2,78,58,58,35,9,9,113,25,29,9,9,23,10,11,2012,20120108,"M","Chennai","F","Milos_Raonic","Janko_Tipsarevic","Chennai","Milos Raonic","Janko Tipsarevic",105683,104386,7743,2012-01-08,105683,"Clear Favorite","Slight Dog","Favorite Won","L",0.0588235294117647,0.0147058823529412,0.573529411764706,0.743589743589744,0.603448275862069,0.0661764705882353,1,0.221238938053097,1.26086956521739,104386,"Slight Dog","F",0.0814096916299559,0.0306607929515419,0.624669603524229,0.710296191819464,0.496713615023474,0.093568281938326,0.634651600753296,0.335342465753425,0.872219592995741,-0.277438248026483,0.520368492224476,-0.0818675848336514,0.0468727724486264,0.214881689589988,0.292746759720837,0.57566765578635,-0.340259702701139,0.445587298591616,"Dog",2
"3","20120122-M-Australian_Open-R16-Novak_Djokovic-Lleyton_Hewitt",1,"Total",102,15,3,63,46,39,22,6,2,124,58,54,23,16,39,20,16,2012,20120122,"M","Australian_Open","R16","Novak_Djokovic","Lleyton_Hewitt","Australian Open","Novak Djokovic","Lleyton Hewitt",104925,103720,8116,2012-01-23,104925,"Sure Thing","No Hope","Favorite Won","W",0.147058823529412,0.0294117647058824,0.617647058823529,0.73015873015873,0.564102564102564,0.0588235294117647,0.333333333333333,0.467741935483871,1.38461538461538,104925,"Sure Thing","F",0.0680942184154176,0.0241970021413276,0.663597430406852,0.751532752500807,0.56524506683641,0.0605995717344754,0.643109540636042,0.441474834178697,1.0952380952381,1.15963743988161,-0.215512753774076,-0.0692443482717385,-0.0284405733096159,-0.00202125202125208,0.0293078362086884,-0.481684981684982,0.0594985246532579,0.264214046822742,"Favorite",3
"4","20120122-M-Australian_Open-R16-Novak_Djokovic-Lleyton_Hewitt",2,"Total",124,3,6,67,45,57,21,12,4,102,34,21,12,6,43,23,14,2012,20120122,"M","Australian_Open","R16","Novak_Djokovic","Lleyton_Hewitt","Australian Open","Novak Djokovic","Lleyton Hewitt",104925,103720,8116,2012-01-23,104925,"Sure Thing","No Hope","Favorite Won","L",0.0241935483870968,0.0483870967741935,0.540322580645161,0.671641791044776,0.368421052631579,0.0967741935483871,0.333333333333333,0.333333333333333,0.488372093023256,103720,"No Hope","F",0.0624754033844943,0.0384691066509248,0.597796143250689,0.65174456879526,0.438845401174168,0.109504132231405,0.51392632524708,0.315139908500904,0.688231081403676,-0.612750825501651,-0.257817011797706,-0.0961424111788317,0.0305291723202172,-0.160476441940973,0.116250760803408,-0.351398601398601,0.0577312626603646,-0.290395179440021,"Dog",4
"5","20120124-M-Australian_Open-QF-David_Ferrer-Novak_Djokovic",1,"Total",98,2,1,64,39,34,17,12,7,91,28,17,11,4,37,26,10,2012,20120124,"M","Australian_Open","QF","David_Ferrer","Novak_Djokovic","Australian Open","David Ferrer","Novak Djokovic",103970,104925,8124,2012-01-25,104925,"Heavy Favorite","No Hope","Favorite Won","L",0.0204081632653061,0.0102040816326531,0.653061224489796,0.609375,0.5,0.122448979591837,0.583333333333333,0.307692307692308,0.459459459459459,103970,"No Hope","F",0.0624754033844943,0.0384691066509248,0.597796143250689,0.65174456879526,0.438845401174168,0.109504132231405,0.51392632524708,0.315139908500904,0.688231081403676,-0.673340832395951,0.73474607234198,0.0924480391234833,-0.0650094696969696,0.139353400222965,-0.118213323065075,0.135052447552448,-0.0236326806212018,-0.33240524603688,"Dog",5
"6","20120124-M-Australian_Open-QF-David_Ferrer-Novak_Djokovic",2,"Total",91,3,0,47,34,44,29,4,2,98,42,33,18,12,34,16,18,2012,20120124,"M","Australian_Open","QF","David_Ferrer","Novak_Djokovic","Australian Open","David Ferrer","Novak Djokovic",103970,104925,8124,2012-01-25,104925,"Heavy Favorite","No Hope","Favorite Won","W",0.032967032967033,0,0.516483516483517,0.723404255319149,0.659090909090909,0.043956043956044,0.5,0.428571428571429,0.970588235294118,104925,"Heavy Favorite","F",0.0835087719298246,0.0257017543859649,0.637982456140351,0.749484394335212,0.564332444875212,0.0668421052631579,0.665354330708661,0.402553262040952,1.02740778688525,-0.605226706067042,1,-0.190442446320351,-0.034797441031706,0.167912486826184,0.342389893570996,-0.248520710059172,0.0646328547893622,-0.0553037969114347,"Favorite",6
"7","20120125-M-Australian_Open-QF-Andy_Murray-Kei_Nishikori",1,"Total",81,4,3,36,28,45,26,10,8,94,50,35,15,13,23,8,12,2012,20120125,"M","Australian_Open","QF","Andy_Murray","Kei_Nishikori","Australian Open","Andy Murray","Kei Nishikori",104918,105453,8125,2012-01-25,104918,"Sure Thing","No Hope","Favorite Won","W",0.0493827160493827,0.037037037037037,0.444444444444444,0.777777777777778,0.577777777777778,0.123456790123457,0.8,0.531914893617021,1.52173913043478,104918,"Sure Thing","F",0.0680942184154176,0.0241970021413276,0.663597430406852,0.751532752500807,0.56524506683641,0.0605995717344754,0.643109540636042,0.441474834178697,1.0952380952381,-0.274788415249631,-0.530645689937725,-0.330249901401886,0.0349219979962788,0.022172172172172,-1.03725515857436,0.243956043956044,0.204858923853668,0.389413988657845,"Favorite",7
"8","20120125-M-Australian_Open-QF-Andy_Murray-Kei_Nishikori",2,"Total",94,1,2,56,30,38,14,18,11,81,27,28,15,10,34,14,18,2012,20120125,"M","Australian_Open","QF","Andy_Murray","Kei_Nishikori","Australian Open","Andy Murray","Kei Nishikori",104918,105453,8125,2012-01-25,104918,"Sure Thing","No Hope","Favorite Won","L",0.0106382978723404,0.0212765957446809,0.595744680851064,0.535714285714286,0.368421052631579,0.191489361702128,0.611111111111111,0.333333333333333,0.823529411764706,105453,"No Hope","F",0.0624754033844943,0.0384691066509248,0.597796143250689,0.65174456879526,0.438845401174168,0.109504132231405,0.51392632524708,0.315139908500904,0.688231081403676,-0.82972022114257,0.446917342330087,-0.00343170899107768,-0.178030303030303,-0.160476441940973,-0.748695303091128,0.189102564102564,0.0577312626603646,0.196588520944278,"Dog",8
"9","20120127-M-Australian_Open-SF-Novak_Djokovic-Andy_Murray",1,"Total",171,11,6,104,69,67,30,24,17,172,85,45,17,17,61,27,28,2012,20120127,"M","Australian_Open","SF","Novak_Djokovic","Andy_Murray","Australian Open","Novak Djokovic","Andy Murray",104925,104918,8128,2012-01-27,104925,"Heavy Favorite","Clear Dog","Favorite Won","W",0.064327485380117,0.0350877192982456,0.608187134502924,0.663461538461538,0.447761194029851,0.140350877192982,0.708333333333333,0.494186046511628,0.737704918032787,104925,"Heavy Favorite","F",0.0835087719298246,0.0257017543859649,0.637982456140351,0.749484394335212,0.564332444875212,0.0668421052631579,0.665354330708661,0.402553262040952,1.02740778688525,-0.2296918767507,-0.36518771331058,-0.046702415326092,-0.114776046738072,-0.206564857122716,-1.0997375328084,0.0645956607495069,0.2276289701544,-0.281974569932685,"Favorite",9
"10","20120127-M-Australian_Open-SF-Novak_Djokovic-Andy_Murray",2,"Total",172,9,10,108,68,64,19,26,15,171,72,43,28,6,84,36,38,2012,20120127,"M","Australian_Open","SF","Novak_Djokovic","Andy_Murray","Australian Open","Novak Djokovic","Andy Murray",104925,104918,8128,2012-01-27,104925,"Heavy Favorite","Clear Dog","Favorite Won","L",0.0523255813953488,0.0581395348837209,0.627906976744186,0.62962962962963,0.296875,0.151162790697674,0.576923076923077,0.421052631578947,0.511904761904762,104918,"Clear Dog","F",0.082261208576998,0.039766081871345,0.589083820662768,0.705162144275314,0.504743833017078,0.0875243664717349,0.587973273942094,0.347301838307966,0.846959122632104,-0.363909401520996,-0.46203830369357,0.0659042987086945,-0.107113683368963,-0.411830357142857,-0.727093800176102,-0.0187937062937064,0.212353593146212,-0.395596849687491,"Dog",10
