Year,Odds_Name,Odds_LN,atp_ln,atp_fn,atp_name,atp_player_id,Odds_Check,Odds_Boolean
2010,Acasuso J.,Acasuso,Acasuso,Jose,Jose Acasuso,104076,Acasuso J.,TRUE
2010,Aguilar J.,Aguilar,Aguilar,Jorge,Jorge Aguilar,104477,Aguilar J.,TRUE
2010,Al Ghareeb M.,Al,Ghareeb,Mohammad,Mohammad Al,103600,Ghareeb M.,TRUE
2010,Alcaide G.,Alcaide,Alcaide,Guillermo,Guillermo Alcaide,104739,Alcaide G.,TRUE
2010,Almagro N.,Almagro,Almagro,Nicolas,Nicolas Almagro,104597,Almagro N.,TRUE
2010,Alves T.,Alves,Alves,Thiago,Thiago Alves,103999,Alves T.,TRUE
2010,Amritraj P.,Amritraj,Amritraj,Prakash,Prakash Amritraj,104250,Amritraj P.,TRUE
2010,Ancic M.,Ancic,Ancic,Mario,Mario Ancic,104339,Ancic M.,TRUE
2010,Anderson K.,Anderson,Anderson,Kevin,Kevin Anderson,104731,Anderson K.,TRUE
2010,Andreev I.,Andreev,Andreev,Igor,Igor Andreev,104214,Andreev I.,TRUE
2010,Andujar P.,Andujar,Andujar,Pablo,Pablo Andujar,104665,Andujar P.,TRUE
2010,Aranguren J.M.,Aranguren,Aranguren,Juan Martin,Juan Martin Aranguren,104253,Aranguren J.,TRUE
2010,Ascione T.,Ascione,Ascione,Thierry,Thierry Ascione,103693,Ascione T.,TRUE
2010,Bachinger M.,Bachinger,Bachinger,Matthias,Matthias Bachinger,104897,Bachinger M.,TRUE
2010,Baghdatis M.,Baghdatis,Baghdatis,Marcos,Marcos Baghdatis,104571,Baghdatis M.,TRUE
2010,Bai Y.,Bai,Bai,Yan,Yan Bai,105339,Bai Y.,TRUE
2010,Baker J.,Baker,Baker,Jamie,Jamie Baker,104779,Baker J.,TRUE
2010,Ball C.,Ball,Ball,Carsten,Carsten Ball,104958,Ball C.,TRUE
2010,Balleret B.,Balleret,Balleret,Benjamin,Benjamin Balleret,104112,Balleret B.,TRUE
2010,Bautista R.,Bautista,Bautista Agut,Roberto,Roberto Bautista,105138,Bautista Agut R.,TRUE
2010,Beck A.,Beck,Beck,Andreas,Andreas Beck,104676,Beck A.,TRUE
2010,Beck K.,Beck,Beck,Karol,Karol Beck,103971,Beck K.,TRUE
2010,Becker B.,Becker,Becker,Benjamin,Benjamin Becker,103794,Becker B.,TRUE
2010,Bellucci T.,Bellucci,Bellucci,Thomaz,Thomaz Bellucci,105064,Bellucci T.,TRUE
2010,Belyaev I.,Belyaev,Belyaev,Ilya,Ilya Belyaev,105609,Belyaev I.,TRUE
2010,Bemelmans R.,Bemelmans,Bemelmans,Ruben,Ruben Bemelmans,105074,Bemelmans R.,TRUE
2010,Benneteau J.,Benneteau,Benneteau,Julien,Julien Benneteau,103898,Benneteau J.,TRUE
2010,Berankis R.,Berankis,Berankis,Ricardas,Ricardas Berankis,105575,Berankis R.,TRUE
2010,Berdych T.,Berdych,Berdych,Tomas,Tomas Berdych,104607,Berdych T.,TRUE
2010,Berlocq C.,Berlocq,Berlocq,Carlos,Carlos Berlocq,104122,Berlocq C.,TRUE
2010,Berrer M.,Berrer,Berrer,Michael,Michael Berrer,103582,Berrer M.,TRUE
2010,Bester P.,Bester,Bester,Philip,Philip Bester,105229,Bester P.,TRUE
2010,Bhambri Y.,Bhambri,Bhambri,Yuki,Yuki Bhambri,106026,Bhambri Y.,TRUE
2010,Blake J.,Blake,Blake,James,James Blake,103484,Blake J.,TRUE
2010,Bloomfield R.,Bloomfield,Bloomfield,Richard,Richard Bloomfield,104171,Bloomfield R.,TRUE
2010,Bogdanovic A.,Bogdanovic,Bogdanovic,Alex,Alex Bogdanovic,104372,Bogdanovic A.,TRUE
