atp_key,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,W LN,W Key,L LN,L Key
2918,2013-319,Kitzbuhel,Clay,28,A,20130728,17,103656,7,,Albert Montanes,R,175,ESP,32.67077344,45,910,103812,,,Victor Hanescu,R,198,ROU,32.02190281,46,909,7-6(2) 3-6 7-6(5),3,R16,153,11,7,126,67,51,29,16,9,12,4,2,113,81,57,19,17,5,7,Montanes,Montanes A.,Hanescu,Hanescu V.
2919,2013-319,Kitzbuhel,Clay,28,A,20130728,18,106233,,WC,Dominic Thiem,R,,AUT,19.90143737,268,167,103781,4,,Jurgen Melzer,L,183,AUT,32.18617385,34,1220,7-5 6-3,3,R16,76,1,1,61,26,21,23,11,3,4,0,3,53,37,23,9,10,1,4,Thiem,Thiem D.,Melzer,Melzer J.
2920,2013-319,Kitzbuhel,Clay,28,A,20130728,19,104593,,,Daniel Gimeno Traver,R,185,ESP,27.97535934,62,777,104225,,Q,Jan Hajek,R,180,CZE,29.97672827,135,430,6-3 6-3,3,R16,73,5,1,66,34,25,16,9,4,5,1,1,52,35,17,10,9,2,6,Gimeno Traver,Gimeno Traver D.,Hajek,Hajek J.
2921,2013-319,Kitzbuhel,Clay,28,A,20130728,20,104338,2,,Juan Monaco,R,185,ARG,29.33333333,31,1270,104890,,WC,Andreas Haider Maurer,R,190,AUT,26.35455168,91,595,6-3 6-4,3,R16,75,0,1,53,33,23,8,9,1,4,5,3,57,26,16,9,10,7,13,Monaco,Monaco J.,Haider Maurer,Haider Maurer A.
2922,2013-319,Kitzbuhel,Clay,28,A,20130728,21,104719,8,,Marcel Granollers,R,190,ESP,27.29637235,53,870,104919,,,Leonardo Mayer,R,188,ARG,26.20670773,78,641,6-3 6-1,3,QF,80,5,2,50,30,25,11,8,2,2,1,7,49,23,14,10,8,6,10,Granollers,Granollers M.,Mayer,Mayer L.
2923,2013-319,Kitzbuhel,Clay,28,A,20130728,22,104898,,,Robin Haase,R,190,NED,26.31348392,68,717,104269,3,,Fernando Verdasco,L,188,ESP,29.70294319,33,1235,4-6 6-4 6-3,3,QF,108,7,3,89,48,37,23,15,1,3,4,6,80,53,39,13,14,2,5,Haase,Haase R.,Verdasco,Verdasco F.
2924,2013-319,Kitzbuhel,Clay,28,A,20130728,23,103656,7,,Albert Montanes,R,175,ESP,32.67077344,45,910,106233,,WC,Dominic Thiem,R,,AUT,19.90143737,268,167,6-4 6-3,3,QF,73,2,5,68,43,35,13,10,7,7,4,1,47,31,20,11,9,1,3,Montanes,Montanes A.,Thiem,Thiem D.
2925,2013-319,Kitzbuhel,Clay,28,A,20130728,24,104338,2,,Juan Monaco,R,185,ARG,29.33333333,31,1270,104593,,,Daniel Gimeno Traver,R,185,ESP,27.97535934,62,777,6-2 3-6 6-4,3,QF,114,1,1,88,67,42,17,13,7,8,5,5,95,53,37,19,14,4,7,Monaco,Monaco J.,Gimeno Traver,Gimeno Traver D.
2926,2013-319,Kitzbuhel,Clay,28,A,20130728,25,104719,8,,Marcel Granollers,R,190,ESP,27.29637235,53,870,104898,,,Robin Haase,R,190,NED,26.31348392,68,717,7-6(0) 3-6 6-4,3,SF,144,7,0,90,55,44,15,15,4,8,11,6,111,61,45,22,16,6,10,Granollers,Granollers M.,Haase,Haase R.
2927,2013-319,Kitzbuhel,Clay,28,A,20130728,26,104338,2,,Juan Monaco,R,185,ARG,29.33333333,31,1270,103656,7,,Albert Montanes,R,175,ESP,32.67077344,45,910,7-6(2) 7-5,3,SF,110,4,0,84,62,42,9,12,7,10,2,5,94,49,30,21,12,10,14,Monaco,Monaco J.,Montanes,Montanes A.
2928,2013-319,Kitzbuhel,Clay,28,A,20130728,27,104719,8,,Marcel Granollers,R,190,ESP,27.29637235,53,870,104338,2,,Juan Monaco,R,185,ARG,29.33333333,31,1270,0-6 7-6(3) 6-4,3,F,133,9,4,97,55,36,16,14,7,13,2,1,78,59,39,9,14,5,9,Granollers,Granollers M.,Monaco,Monaco J.
2929,2013-440,s-Hertogenbosch,Grass,32,A,20130616,1,103598,,,Xavier Malisse,R,185,BEL,32.91170431,60,770,103970,1,,David Ferrer,R,175,ESP,31.20876112,4,7220,7-6(3) 6-3,3,R32,89,10,1,77,44,36,18,11,4,4,5,2,63,38,30,12,10,3,4,Malisse,Malisse X.,Ferrer,Ferrer D.
2930,2013-440,s-Hertogenbosch,Grass,32,A,20130616,2,104229,,,Yen Hsun Lu,R,180,TPE,29.84257358,74,683,104273,,,Edouard Roger Vasselin,R,188,FRA,29.5523614,67,736,6-1 7-6(3),3,R32,88,5,1,66,44,32,13,10,4,5,5,4,63,35,25,12,9,0,3,Hsun Lu,Hsun Lu Y.,Roger Vasselin,Roger Vasselin E.
2931,2013-440,s-Hertogenbosch,Grass,32,A,20130616,3,105138,,,Roberto Bautista Agut,R,,ESP,25.17453799,63,749,104219,,Q,Stephane Bohli,R,185,SUI,29.8973306,401,91,3-6 7-6(5) 7-6(12),3,R32,162,8,4,114,80,60,22,16,3,4,15,2,132,82,63,30,17,7,7,Bautista Agut,Bautista Agut R.,Bohli,Bohli S.
2932,2013-440,s-Hertogenbosch,Grass,32,A,20130616,4,104122,,,Carlos Berlocq,R,183,ARG,30.36824093,72,690,104571,6,,Marcos Baghdatis,R,183,CYP,28,40,995,6-2 6-4,3,R32,78,2,0,50,38,30,8,9,0,0,4,7,73,36,25,14,9,6,9,Berlocq,Berlocq C.,Baghdatis,Baghdatis M.
2933,2013-440,s-Hertogenbosch,Grass,32,A,20130616,5,105539,,,Evgeny Donskoy,R,185,RUS,23.10746064,73,684,104545,3,,John Isner,R,206,USA,28.14236824,21,1735,6-7(3) 6-3 6-4,3,R32,92,8,3,85,55,46,20,16,0,0,18,1,81,56,46,13,15,0,2,Donskoy,Donskoy E.,Isner,Isner J.
2934,2013-440,s-Hertogenbosch,Grass,32,A,20130616,6,104898,,,Robin Haase,R,190,NED,26.19849418,57,787,104919,,,Leonardo Mayer,R,188,ARG,26.091718,80,631,4-6 6-1 6-4,3,R32,112,9,4,98,59,39,25,14,8,9,1,1,66,35,25,18,13,0,3,Haase,Haase R.,Mayer,Mayer L.
2935,2013-440,s-Hertogenbosch,Grass,32,A,20130616,7,103917,,Q,Nicolas Mahut,R,190,FRA,31.40314853,240,198,105575,,,Ricardas Berankis,R,175,LTU,22.98973306,69,711,6-1 6-4,3,R32,66,9,0,54,30,24,15,9,1,1,4,4,52,24,15,15,8,4,7,Mahut,Mahut N.,Berankis,Berankis R.
2936,2013-440,s-Hertogenbosch,Grass,32,A,20130616,8,105723,,,Andrey Kuznetsov,R,185,RUS,22.31622177,77,649,104593,8,,Daniel Gimeno Traver,R,185,ESP,27.86036961,55,807,7-6(4) 6-3,3,R32,79,4,1,68,40,32,18,11,4,5,2,5,68,38,26,14,10,4,6,Kuznetsov,Kuznetsov A.,Gimeno Traver,Gimeno Traver D.
2937,2013-440,s-Hertogenbosch,Grass,32,A,20130616,9,104198,,,Guillermo Garcia Lopez,R,188,ESP,30.03696099,78,636,103812,7,,Victor Hanescu,R,198,ROU,31.90691307,47,895,6-4 6-3,3,R32,81,5,6,59,26,24,16,10,1,2,2,2,61,42,26,10,9,1,4,Garcia Lopez,Garcia Lopez G.,Hanescu,Hanescu V.
2938,2013-440,s-Hertogenbosch,Grass,32,A,20130616,10,104978,,,Daniel Brands,R,196,GER,25.9192334,56,789,104619,,WC,Jesse Huta Galung,R,188,NED,27.69609856,167,311,6-3 6-2,3,R32,56,9,1,41,27,22,9,8,1,2,4,7,56,28,17,11,9,1,6,Brands,Brands D.,Huta Galung,Huta Galung J.
2939,2013-440,s-Hertogenbosch,Grass,32,A,20130616,11,103401,,Q,Jan Hernych,R,190,CZE,33.94661191,228,205,105676,,,David Goffin,R,163,BEL,22.52703628,85,611,6-3 3-6 7-6(4),3,R32,126,4,1,95,59,40,19,15,3,7,4,3,95,57,36,21,15,6,10,Hernych,Hernych J.,Goffin,Goffin D.
2940,2013-440,s-Hertogenbosch,Grass,32,A,20130616,12,103566,,,Michael Llodra,L,190,FRA,33.08145106,52,824,105332,4,,Benoit Paire,R,196,FRA,24.10951403,25,1450,3-0 RET,3,R32,15,0,1,11,6,6,2,2,0,0,0,1,8,3,1,2,1,0,1,Llodra,Llodra M.,Paire,Paire B.
2941,2013-440,s-Hertogenbosch,Grass,32,A,20130616,13,104871,5,,Jeremy Chardy,R,188,FRA,26.34360027,27,1416,106298,,Q,Lucas Pouille,R,,FRA,19.31279945,267,174,7-5 6-4,3,R32,84,14,2,61,35,28,15,11,3,5,7,5,78,47,29,14,11,7,11,Chardy,Chardy J.,Pouille,Pouille L.
2942,2013-440,s-Hertogenbosch,Grass,32,A,20130616,14,105657,,WC,Marius Copil,R,193,ROU,22.66666667,129,444,104297,,,Rogerio Dutra Silva,R,178,BRA,29.36892539,102,550,6-7(4) 6-4 6-2,3,R32,116,17,4,87,51,40,26,15,2,2,3,3,93,62,45,18,15,1,4,Copil,Copil M.,Dutra Silva,Dutra Silva R.
2943,2013-440,s-Hertogenbosch,Grass,32,A,20130616,15,103893,,,Paolo Lorenzi,R,183,ITA,31.50444901,71,701,105217,,WC,Thiemo De Bakker,R,193,NED,24.74195756,86,588,7-6(2) 7-6(4),3,R32,96,3,1,72,38,31,22,12,0,1,3,2,80,56,39,12,12,2,3,Lorenzi,Lorenzi P.,De Bakker,De Bakker T.
2944,2013-440,s-Hertogenbosch,Grass,32,A,20130616,16,104527,2,,Stanislas Wawrinka,R,183,SUI,28.22176591,10,2810,104327,,LL,Steve Darcis,R,178,BEL,29.26214921,113,502,7-6(5) 6-4,3,R32,92,10,3,82,49,37,18,11,7,8,4,1,67,47,35,11,11,2,4,Wawrinka,Wawrinka S.,Darcis,Darcis S.
2945,2013-440,s-Hertogenbosch,Grass,32,A,20130616,17,103598,,,Xavier Malisse,R,185,BEL,32.91170431,60,770,104229,,,Yen Hsun Lu,R,180,TPE,29.84257358,74,683,3-6 6-1 6-4,3,R16,106,12,6,76,41,31,19,13,8,11,4,4,86,50,34,13,13,3,8,Malisse,Malisse X.,Hsun Lu,Hsun Lu Y.
2946,2013-440,s-Hertogenbosch,Grass,32,A,20130616,18,105138,,,Roberto Bautista Agut,R,,ESP,25.17453799,63,749,104122,,,Carlos Berlocq,R,183,ARG,30.36824093,72,690,6-2 6-3,3,R16,75,0,1,58,46,33,6,9,6,7,1,7,57,40,24,4,8,4,8,Bautista Agut,Bautista Agut R.,Berlocq,Berlocq C.
2947,2013-440,s-Hertogenbosch,Grass,32,A,20130616,19,105539,,,Evgeny Donskoy,R,185,RUS,23.10746064,73,684,104898,,,Robin Haase,R,190,NED,26.19849418,57,787,6-4 7-5,3,R16,94,6,2,81,52,37,14,11,6,7,3,1,67,37,26,14,11,1,4,Donskoy,Donskoy E.,Haase,Haase R.
2948,2013-440,s-Hertogenbosch,Grass,32,A,20130616,20,103917,,Q,Nicolas Mahut,R,190,FRA,31.40314853,240,198,105723,,,Andrey Kuznetsov,R,185,RUS,22.31622177,77,649,6-2 6-4,3,R16,81,6,4,59,39,30,10,9,2,2,6,5,73,43,27,13,9,3,6,Mahut,Mahut N.,Kuznetsov,Kuznetsov A.
2949,2013-440,s-Hertogenbosch,Grass,32,A,20130616,21,104198,,,Guillermo Garcia Lopez,R,188,ESP,30.03696099,78,636,104978,,,Daniel Brands,R,196,GER,25.9192334,56,789,7-6(7) 6-2,3,R16,81,1,4,61,33,29,20,10,1,1,7,2,68,51,35,9,10,2,4,Garcia Lopez,Garcia Lopez G.,Brands,Brands D.
2950,2013-440,s-Hertogenbosch,Grass,32,A,20130616,22,103401,,Q,Jan Hernych,R,190,CZE,33.94661191,228,205,103566,,,Michael Llodra,L,190,FRA,33.08145106,52,824,6-7(5) 6-4 7-5,3,R16,137,7,4,104,67,53,22,17,1,2,8,3,112,71,51,22,17,8,11,Hernych,Hernych J.,Llodra,Llodra M.
2951,2013-440,s-Hertogenbosch,Grass,32,A,20130616,23,104871,5,,Jeremy Chardy,R,188,FRA,26.34360027,27,1416,105657,,WC,Marius Copil,R,193,ROU,22.66666667,129,444,7-5 6-4,3,R16,82,3,3,62,37,30,18,11,4,4,10,5,71,42,33,11,11,1,3,Chardy,Chardy J.,Copil,Copil M.
2952,2013-440,s-Hertogenbosch,Grass,32,A,20130616,24,104527,2,,Stanislas Wawrinka,R,183,SUI,28.22176591,10,2810,103893,,,Paolo Lorenzi,R,183,ITA,31.50444901,71,701,6-3 7-6(8),3,R16,73,7,1,66,41,31,17,11,0,1,2,1,65,39,27,16,10,2,4,Wawrinka,Wawrinka S.,Lorenzi,Lorenzi P.
2953,2013-440,s-Hertogenbosch,Grass,32,A,20130616,25,103598,,,Xavier Malisse,R,185,BEL,32.91170431,60,770,105138,,,Roberto Bautista Agut,R,,ESP,25.17453799,63,749,6-4 6-4,3,QF,80,7,0,58,32,25,14,10,0,1,2,1,55,43,27,7,10,1,4,Malisse,Malisse X.,Bautista Agut,Bautista Agut R.
2954,2013-440,s-Hertogenbosch,Grass,32,A,20130616,26,103917,,Q,Nicolas Mahut,R,190,FRA,31.40314853,240,198,105539,,,Evgeny Donskoy,R,185,RUS,23.10746064,73,684,6-3 7-6(1),3,QF,101,8,2,82,50,41,15,11,4,4,6,2,70,42,30,14,10,5,6,Mahut,Mahut N.,Donskoy,Donskoy E.
2955,2013-440,s-Hertogenbosch,Grass,32,A,20130616,27,104198,,,Guillermo Garcia Lopez,R,188,ESP,30.03696099,78,636,103401,,Q,Jan Hernych,R,190,CZE,33.94661191,228,205,6-4 6-1,3,QF,73,5,2,64,34,27,12,9,6,8,0,2,50,31,17,7,8,3,8,Garcia Lopez,Garcia Lopez G.,Hernych,Hernych J.
2956,2013-440,s-Hertogenbosch,Grass,32,A,20130616,28,104527,2,,Stanislas Wawrinka,R,183,SUI,28.22176591,10,2810,104871,5,,Jeremy Chardy,R,188,FRA,26.34360027,27,1416,6-4 7-6(2),3,QF,75,7,0,62,38,30,16,11,1,2,10,6,61,44,36,5,11,1,3,Wawrinka,Wawrinka S.,Chardy,Chardy J.
2957,2013-440,s-Hertogenbosch,Grass,32,A,20130616,29,103917,,Q,Nicolas Mahut,R,190,FRA,31.40314853,240,198,103598,,,Xavier Malisse,R,185,BEL,32.91170431,60,770,6-3 6-3,3,SF,73,11,2,60,44,33,8,9,6,7,2,1,52,30,20,7,9,1,5,Mahut,Mahut N.,Malisse,Malisse X.
2958,2013-440,s-Hertogenbosch,Grass,32,A,20130616,30,104527,2,,Stanislas Wawrinka,R,183,SUI,28.22176591,10,2810,104198,,,Guillermo Garcia Lopez,R,188,ESP,30.03696099,78,636,6-1 6-4,3,SF,76,6,1,69,43,34,11,9,10,10,5,0,61,41,24,10,8,5,8,Wawrinka,Wawrinka S.,Garcia Lopez,Garcia Lopez G.
2959,2013-440,s-Hertogenbosch,Grass,32,A,20130616,31,103917,,Q,Nicolas Mahut,R,190,FRA,31.40314853,240,198,104527,2,,Stanislas Wawrinka,R,183,SUI,28.22176591,10,2810,6-3 6-4,3,F,83,5,4,60,31,26,18,10,3,3,3,4,54,32,20,15,9,2,4,Mahut,Mahut N.,Wawrinka,Wawrinka S.
